signal_type,信号数量,平均组合长度,多仓均收益%,多仓标准差,多仓最小%,多仓最大%,多仓盈利数,多仓胜率,空仓均收益%,空仓标准差,空仓最小%,空仓最大%,空仓盈利数,空仓胜率,平均买点位置
横盘整理,14873,9.7319,-0.0141,0.4826,-9.72,2.6559,7277,0.4893,0.0141,0.4826,-2.6559,9.72,7446,0.5006,5.467
探底回升,5902,9.8231,-0.0717,0.713,-10.2816,2.6496,2615,0.4431,0.0717,0.713,-2.6496,10.2816,3247,0.5502,5.6533
冲高回落,5762,9.8468,-0.0051,0.4092,-7.2773,3.0579,2759,0.4788,0.0051,0.4092,-3.0579,7.2773,2928,0.5082,5.6973
连续下跌2K,4183,8.4963,-0.0214,0.6343,-9.2329,3.2113,2037,0.487,0.0214,0.6343,-3.2113,9.2329,2117,0.5061,2.0
连续上涨2K,3833,8.4952,-0.0904,1.0147,-10.2816,3.2356,1743,0.4547,0.0904,1.0147,-3.2356,10.2816,2066,0.539,2.0
连续下跌3K,2167,8.4984,0.0012,0.5219,-7.2304,3.2113,1068,0.4928,-0.0012,0.5219,-3.2113,7.2304,1084,0.5002,3.0
连续上涨3K,1848,8.5,-0.1109,1.1709,-10.2816,2.9913,807,0.4367,0.1109,1.1709,-2.9913,10.2816,1030,0.5574,3.0
中位十字星,1505,10.3641,0.0615,0.4479,-1.1683,2.6771,750,0.4983,-0.0615,0.4479,-2.6771,1.1683,737,0.4897,6.7282
阴阳交错,942,10.2813,-0.1319,0.8148,-10.1419,2.0059,411,0.4363,0.1319,0.8148,-2.0059,10.1419,526,0.5584,6.5626
连续下跌4K,910,9.0,0.0216,0.4951,-2.4558,2.6498,467,0.5132,-0.0216,0.4951,-2.6498,2.4558,437,0.4802,4.0
连续上涨4K,742,9.0,-0.1279,1.5051,-10.2816,2.7606,352,0.4744,0.1279,1.5051,-2.7606,10.2816,383,0.5162,4.0
震荡上涨,454,10.4559,-0.1903,1.3435,-10.2816,1.2587,219,0.4824,0.1903,1.3435,-1.2587,10.2816,233,0.5132,6.9119
震荡下跌,443,10.6998,-0.0311,0.4049,-1.0615,2.4328,212,0.4786,0.0311,0.4049,-2.4328,1.0615,231,0.5214,7.3995
连续下跌5K,372,9.5,0.0474,0.4425,-0.9955,1.5994,200,0.5376,-0.0474,0.4425,-1.5994,0.9955,171,0.4597,5.0
连续上涨5K,252,9.5,-0.2471,1.9728,-10.2816,2.7606,121,0.4802,0.2471,1.9728,-2.7606,10.2816,128,0.5079,5.0
连续下跌6K,140,10.0,0.0746,0.4405,-0.9615,1.3172,80,0.5714,-0.0746,0.4405,-1.3172,0.9615,60,0.4286,6.0
连续上涨6K,85,10.0,-0.3467,2.2561,-10.1868,2.4752,49,0.5765,0.3467,2.2561,-2.4752,10.1868,35,0.4118,6.0
低位十字星,72,10.5556,-0.1524,0.3233,-0.7506,0.5098,27,0.375,0.1524,0.3233,-0.5098,0.7506,45,0.625,7.1111
连续下跌7K,48,10.5,0.1382,0.4168,-0.7056,1.3172,32,0.6667,-0.1382,0.4168,-1.3172,0.7056,16,0.3333,7.0
高位十字星,40,10.325,0.1962,0.7182,-1.1744,1.8058,24,0.6,-0.1962,0.7182,-1.8058,1.1744,16,0.4,6.65
震荡信号,26,9.2308,0.2076,1.1605,-2.1091,1.9459,14,0.5385,-0.2076,1.1605,-1.9459,2.1091,12,0.4615,4.4615
连续上涨7K,16,10.5,0.1975,0.289,-0.314,0.5646,11,0.6875,-0.1975,0.289,-0.5646,0.314,5,0.3125,7.0
连续下跌8K,15,11.0,0.155,0.424,-0.3075,1.247,10,0.6667,-0.155,0.424,-1.247,0.3075,5,0.3333,8.0
连续上涨8K,6,11.0,-0.0756,0.2441,-0.314,0.3841,1,0.1667,0.0756,0.2441,-0.3841,0.314,5,0.8333,8.0
连续上涨9K,2,11.5,-0.1484,0.1194,-0.2328,-0.064,0,0.0,0.1484,0.1194,0.064,0.2328,2,1.0,9.0
连续下跌9K,2,11.5,0.1344,0.0932,0.0685,0.2003,2,1.0,-0.1344,0.0932,-0.2003,-0.0685,0,0.0,9.0
