datetime,open,high,low,close,volume,hold
2026-03-19 10:43:00,1083.3,1083.68,1083.3,1083.58,158,81628
2026-03-19 10:44:00,1083.56,1083.92,1083.56,1083.78,160,81633
2026-03-19 10:45:00,1083.76,1083.98,1083.76,1083.98,138,81612
2026-03-19 10:46:00,1083.88,1084.0,1083.82,1083.9,72,81603
2026-03-19 10:47:00,1083.9,1083.9,1083.4,1083.68,267,81534
2026-03-19 10:48:00,1083.68,1083.68,1083.34,1083.44,101,81515
2026-03-19 10:49:00,1083.46,1083.54,1082.94,1083.34,312,81480
2026-03-19 10:50:00,1083.34,1083.42,1083.12,1083.16,25,81465
2026-03-19 10:51:00,1083.16,1083.3,1082.88,1083.02,178,81475
2026-03-19 10:52:00,1083.02,1083.02,1082.62,1082.7,81,81456
2026-03-19 10:53:00,1082.72,1083.0,1082.7,1082.96,154,81423
2026-03-19 10:54:00,1082.98,1083.58,1082.98,1083.52,139,81404
2026-03-19 10:55:00,1083.46,1084.16,1083.46,1084.14,246,81369
2026-03-19 10:56:00,1084.0,1084.46,1084.0,1084.08,180,81363
2026-03-19 10:57:00,1084.08,1084.36,1083.88,1083.94,14,81350
2026-03-19 10:58:00,1083.9,1083.98,1083.64,1083.78,48,81319
2026-03-19 10:59:00,1083.7,1083.74,1083.04,1083.22,23,81266
2026-03-19 11:00:00,1083.22,1083.98,1083.22,1083.96,182,81234
2026-03-19 11:01:00,1083.84,1084.12,1083.7,1084.04,136,81223
2026-03-19 11:02:00,1084.04,1084.4,1084.0,1084.02,207,81204
2026-03-19 11:03:00,1084.02,1084.02,1083.3,1083.3,58,81165
2026-03-19 11:04:00,1083.3,1083.3,1082.9,1083.3,169,81088
2026-03-19 11:05:00,1083.3,1084.2,1083.26,1083.94,359,81079
2026-03-19 11:06:00,1083.96,1083.96,1083.46,1083.48,191,81041
2026-03-19 11:07:00,1083.56,1083.56,1083.28,1083.32,163,81001
2026-03-19 11:08:00,1083.3,1083.5,1083.0,1083.36,131,80974
2026-03-19 11:09:00,1083.44,1083.44,1083.1,1083.24,161,80965
2026-03-19 11:10:00,1083.24,1084.56,1083.24,1084.52,422,80977
2026-03-19 11:11:00,1084.56,1084.92,1084.32,1084.46,307,80971
2026-03-19 11:12:00,1084.46,1084.78,1084.46,1084.64,134,80971
2026-03-19 11:13:00,1084.64,1084.66,1084.22,1084.46,117,80959
2026-03-19 11:14:00,1084.46,1084.46,1084.14,1084.14,227,80915
2026-03-19 11:15:00,1084.1,1084.84,1084.1,1084.84,23,80745
2026-03-19 11:16:00,1084.76,1084.88,1084.66,1084.7,9,80675
2026-03-19 11:17:00,1084.7,1084.8,1084.44,1084.68,31,80650
2026-03-19 11:18:00,1084.72,1084.88,1084.66,1084.78,81,80635
2026-03-19 11:19:00,1084.78,1084.92,1084.72,1084.8,94,80627
2026-03-19 11:20:00,1084.86,1085.1,1084.76,1084.98,301,80614
2026-03-19 11:21:00,1085.04,1085.04,1084.58,1084.6,181,80575
2026-03-19 11:22:00,1084.6,1084.7,1084.24,1084.48,308,80508
2026-03-19 11:23:00,1084.48,1084.52,1084.18,1084.32,3,80494
2026-03-19 11:24:00,1084.26,1084.3,1083.7,1083.82,274,80469
2026-03-19 11:25:00,1083.78,1083.96,1083.52,1083.6,150,80434
2026-03-19 11:26:00,1083.66,1083.74,1083.44,1083.66,198,80402
2026-03-19 11:27:00,1083.66,1084.1,1083.66,1084.02,159,80400
2026-03-19 11:28:00,1084.02,1084.22,1083.94,1084.18,88,80375
2026-03-19 11:29:00,1084.18,1084.18,1083.86,1084.0,30,80358
2026-03-19 11:30:00,1084.1,1084.46,1084.04,1084.3,243,80306
2026-03-19 13:31:00,1082.0,1082.08,1080.3,1080.6,485,80250
2026-03-19 13:32:00,1080.78,1080.86,1080.42,1080.52,531,80226
2026-03-19 13:33:00,1080.5,1080.52,1079.82,1080.32,635,80186
2026-03-19 13:34:00,1080.36,1080.74,1080.2,1080.24,423,80194
2026-03-19 13:35:00,1080.2,1080.44,1079.88,1080.1,500,80149
2026-03-19 13:36:00,1080.14,1080.24,1079.9,1080.04,241,80150
2026-03-19 13:37:00,1079.96,1080.2,1079.7,1079.82,322,80154
