combo_type,组合数量,平均长度,多仓平均收益%,多仓收益标准差,多仓最小收益%,多仓最大收益%,多仓盈利单数,多仓胜率,空仓平均收益%,空仓收益标准差,空仓最小收益%,空仓最大收益%,空仓盈利单数,空仓胜率
震荡_阴线_12K,765,12.0,-0.1338,0.2794,-1.1443,1.0791,238,0.3111,0.1338,0.2794,-1.0791,1.1443,526,0.6876
震荡_阴线_11K,744,11.0,-0.1352,0.2614,-1.0636,0.8843,222,0.2984,0.1352,0.2614,-0.8843,1.0636,521,0.7003
震荡_阴线_10K,734,10.0,-0.1295,0.2507,-0.9679,0.9371,213,0.2902,0.1295,0.2507,-0.9371,0.9679,520,0.7084
震荡_阴线_9K,722,9.0,-0.1248,0.2343,-1.0058,0.8631,206,0.2853,0.1248,0.2343,-0.8631,1.0058,514,0.7119
震荡_阴线_7K,697,7.0,-0.1109,0.2139,-0.8621,1.1157,199,0.2855,0.1109,0.2139,-1.1157,0.8621,494,0.7088
震荡_阴线_8K,695,8.0,-0.1217,0.2194,-1.0886,0.6658,201,0.2892,0.1217,0.2194,-0.6658,1.0886,494,0.7108
震荡_阴线_6K,685,6.0,-0.1044,0.1963,-0.8547,1.0009,192,0.2803,0.1044,0.1963,-1.0009,0.8547,490,0.7153
震荡_阴线_5K,650,5.0,-0.102,0.1806,-0.7017,0.8821,181,0.2785,0.102,0.1806,-0.8821,0.7017,469,0.7215
震荡_阳线_5K,294,5.0,0.1693,0.1922,-0.33,1.3256,245,0.8333,-0.1693,0.1922,-1.3256,0.33,48,0.1633
震荡_阳线_6K,272,6.0,0.1938,0.2245,-0.2898,1.1532,232,0.8529,-0.1938,0.2245,-1.1532,0.2898,39,0.1434
震荡_阳线_8K,272,8.0,0.232,0.2696,-0.4208,1.235,234,0.8603,-0.232,0.2696,-1.235,0.4208,38,0.1397
震荡_阳线_7K,267,7.0,0.2161,0.2476,-0.2898,1.1941,232,0.8689,-0.2161,0.2476,-1.1941,0.2898,35,0.1311
震荡_阳线_9K,248,9.0,0.265,0.2901,-0.4264,1.4692,220,0.8871,-0.265,0.2901,-1.4692,0.4264,27,0.1089
震荡_阳线_10K,233,10.0,0.2801,0.3052,-0.4208,1.5146,206,0.8841,-0.2801,0.3052,-1.5146,0.4208,26,0.1116
震荡_阳线_11K,226,11.0,0.3077,0.3251,-0.3213,1.6126,201,0.8894,-0.3077,0.3251,-1.6126,0.3213,25,0.1106
震荡_阳线_12K,203,12.0,0.3363,0.3469,-0.2219,1.7006,181,0.8916,-0.3363,0.3469,-1.7006,0.2219,21,0.1034
震荡_星线_5K,71,5.0,0.096,0.2799,-0.4913,1.0382,36,0.507,-0.096,0.2799,-1.0382,0.4913,35,0.493
震荡_星线_6K,56,6.0,0.1246,0.3165,-0.5129,0.9338,30,0.5357,-0.1246,0.3165,-0.9338,0.5129,26,0.4643
震荡_星线_7K,47,7.0,0.1169,0.3365,-0.5051,0.9045,26,0.5532,-0.1169,0.3365,-0.9045,0.5051,20,0.4255
震荡_星线_8K,42,8.0,0.1277,0.388,-0.515,1.1293,24,0.5714,-0.1277,0.388,-1.1293,0.515,18,0.4286
震荡_星线_10K,38,10.0,0.2437,0.4323,-0.4918,1.33,25,0.6579,-0.2437,0.4323,-1.33,0.4918,12,0.3158
震荡_星线_9K,37,9.0,0.1566,0.4096,-0.5284,1.3595,21,0.5676,-0.1566,0.4096,-1.3595,0.5284,16,0.4324
震荡_星线_12K,33,12.0,0.341,0.3881,-0.4168,1.2741,27,0.8182,-0.341,0.3881,-1.2741,0.4168,6,0.1818
震荡_星线_11K,33,11.0,0.2824,0.4587,-0.4341,1.5561,23,0.697,-0.2824,0.4587,-1.5561,0.4341,10,0.303
