datetime,open,high,low,close,volume,hold
2026-03-18 23:28:00,134590.0,134620.0,134550.0,134590.0,500,192931
2026-03-18 23:29:00,134590.0,134610.0,134580.0,134610.0,194,192937
2026-03-18 23:30:00,134610.0,134650.0,134590.0,134650.0,241,192937
2026-03-18 23:31:00,134640.0,134650.0,134630.0,134640.0,202,192959
2026-03-18 23:32:00,134640.0,134640.0,134600.0,134620.0,245,192944
2026-03-18 23:33:00,134610.0,134640.0,134600.0,134610.0,134,192979
2026-03-18 23:34:00,134610.0,134630.0,134610.0,134620.0,146,192998
2026-03-18 23:35:00,134630.0,134670.0,134620.0,134650.0,326,192967
2026-03-18 23:36:00,134640.0,134660.0,134620.0,134630.0,181,192982
2026-03-18 23:37:00,134630.0,134670.0,134630.0,134670.0,214,193002
2026-03-18 23:38:00,134660.0,134660.0,134630.0,134640.0,172,193003
2026-03-18 23:39:00,134640.0,134650.0,134610.0,134620.0,152,193009
2026-03-18 23:40:00,134620.0,134620.0,134560.0,134560.0,352,193041
2026-03-18 23:41:00,134560.0,134600.0,134540.0,134590.0,553,192945
2026-03-18 23:42:00,134590.0,134600.0,134340.0,134490.0,2042,192560
2026-03-18 23:43:00,134480.0,134520.0,134370.0,134390.0,997,192336
2026-03-18 23:44:00,134390.0,134420.0,134350.0,134410.0,825,192355
2026-03-18 23:45:00,134410.0,134450.0,134400.0,134420.0,342,192400
2026-03-18 23:46:00,134420.0,134490.0,134420.0,134450.0,335,192423
2026-03-18 23:47:00,134450.0,134450.0,134360.0,134360.0,422,192416
2026-03-18 23:48:00,134370.0,134370.0,134240.0,134300.0,112,192373
2026-03-18 23:49:00,134300.0,134320.0,134280.0,134310.0,301,192425
2026-03-18 23:50:00,134320.0,134320.0,134150.0,134160.0,1242,192687
2026-03-18 23:51:00,134150.0,134190.0,134120.0,134140.0,679,192753
2026-03-18 23:52:00,134140.0,134190.0,134050.0,134060.0,885,192898
2026-03-18 23:53:00,134050.0,134060.0,133860.0,133900.0,1892,193190
2026-03-18 23:54:00,133900.0,133990.0,133900.0,133940.0,861,193347
2026-03-18 23:55:00,133940.0,133970.0,133910.0,133960.0,500,193537
2026-03-18 23:56:00,133940.0,134100.0,133940.0,134080.0,1042,193300
2026-03-18 23:57:00,134080.0,134100.0,134050.0,134060.0,383,193293
2026-03-18 23:58:00,134060.0,134160.0,134060.0,134110.0,772,193210
2026-03-18 23:59:00,134130.0,134160.0,134100.0,134140.0,493,193213
2026-03-19 00:00:00,134140.0,134150.0,134070.0,134100.0,390,193190
2026-03-19 00:01:00,134100.0,134120.0,134070.0,134080.0,231,193193
2026-03-19 00:02:00,134080.0,134150.0,134080.0,134140.0,256,193196
2026-03-19 00:03:00,134140.0,134150.0,134120.0,134120.0,182,193193
2026-03-19 00:04:00,134120.0,134250.0,134120.0,134240.0,710,193048
2026-03-19 00:05:00,134240.0,134240.0,134180.0,134200.0,270,192999
2026-03-19 00:06:00,134200.0,134250.0,134200.0,134220.0,294,193005
2026-03-19 00:07:00,134220.0,134260.0,134210.0,134260.0,212,193016
2026-03-19 00:08:00,134260.0,134330.0,134260.0,134290.0,682,192962
2026-03-19 00:09:00,134310.0,134310.0,134270.0,134300.0,276,192955
2026-03-19 00:10:00,134310.0,134310.0,134290.0,134290.0,188,192930
2026-03-19 00:11:00,134290.0,134290.0,134200.0,134230.0,588,192791
2026-03-19 00:12:00,134230.0,134250.0,134220.0,134240.0,181,192789
2026-03-19 00:13:00,134240.0,134240.0,134180.0,134230.0,347,192767
2026-03-19 00:14:00,134230.0,134320.0,134220.0,134320.0,265,192757
2026-03-19 00:15:00,134320.0,134360.0,134300.0,134340.0,430,192750
2026-03-19 00:16:00,134340.0,134520.0,134330.0,134490.0,1233,192569
2026-03-19 00:17:00,134500.0,134560.0,134490.0,134520.0,772,192464
2026-03-19 00:18:00,134530.0,134550.0,134470.0,134480.0,366,192430
2026-03-19 00:19:00,134480.0,134510.0,134450.0,134460.0,431,192343
2026-03-19 00:20:00,134460.0,134560.0,134460.0,134530.0,494,192233
2026-03-19 00:21:00,134530.0,134550.0,134500.0,134520.0,245,192216
2026-03-19 00:22:00,134500.0,134520.0,134470.0,134490.0,232,192239
2026-03-19 00:23:00,134490.0,134600.0,134480.0,134600.0,511,192154
2026-03-19 00:24:00,134590.0,134600.0,134520.0,134530.0,300,192125
2026-03-19 00:25:00,134530.0,134540.0,134490.0,134490.0,245,192116
2026-03-19 00:26:00,134480.0,134510.0,134440.0,134440.0,285,192073
2026-03-19 00:27:00,134440.0,134480.0,134440.0,134470.0,177,192047
2026-03-19 00:28:00,134480.0,134530.0,134480.0,134520.0,244,192033
2026-03-19 00:29:00,134520.0,134520.0,134430.0,134430.0,232,192009
2026-03-19 00:30:00,134440.0,134520.0,134430.0,134520.0,303,191957
2026-03-19 00:31:00,134520.0,134530.0,134480.0,134490.0,195,191947
2026-03-19 00:32:00,134490.0,134550.0,134490.0,134510.0,194,191960
2026-03-19 00:33:00,134510.0,134520.0,134480.0,134490.0,94,191953
2026-03-19 00:34:00,134490.0,134510.0,134470.0,134470.0,166,191936
2026-03-19 00:35:00,134480.0,134480.0,134430.0,134440.0,326,191871
2026-03-19 00:36:00,134440.0,134440.0,134370.0,134390.0,446,191787
2026-03-19 00:37:00,134390.0,134460.0,134390.0,134440.0,219,191865
2026-03-19 00:38:00,134430.0,134450.0,134420.0,134440.0,103,191864
2026-03-19 00:39:00,134450.0,134480.0,134430.0,134480.0,214,191857
2026-03-19 00:40:00,134480.0,134530.0,134470.0,134520.0,240,191843
2026-03-19 00:41:00,134520.0,134540.0,134480.0,134500.0,143,191811
2026-03-19 00:42:00,134500.0,134500.0,134470.0,134500.0,111,191791
2026-03-19 00:43:00,134520.0,134550.0,134490.0,134500.0,163,191766
2026-03-19 00:44:00,134500.0,134510.0,134480.0,134510.0,92,191774
2026-03-19 00:45:00,134510.0,134550.0,134510.0,134530.0,164,191769
2026-03-19 00:46:00,134530.0,134540.0,134480.0,134510.0,165,191737
2026-03-19 00:47:00,134520.0,134520.0,134490.0,134510.0,122,191752
2026-03-19 00:48:00,134510.0,134520.0,134490.0,134490.0,83,191738
2026-03-19 00:49:00,134490.0,134510.0,134460.0,134490.0,145,191716
2026-03-19 00:50:00,134490.0,134530.0,134470.0,134530.0,149,191686
2026-03-19 00:51:00,134530.0,134580.0,134520.0,134570.0,256,191624
2026-03-19 00:52:00,134570.0,134660.0,134540.0,134650.0,510,191500
2026-03-19 00:53:00,134650.0,134670.0,134620.0,134640.0,324,191494
2026-03-19 00:54:00,134640.0,134650.0,134580.0,134630.0,181,191461
2026-03-19 00:55:00,134630.0,134660.0,134600.0,134600.0,218,191402
2026-03-19 00:56:00,134600.0,134600.0,134560.0,134560.0,250,191305
2026-03-19 00:57:00,134560.0,134620.0,134560.0,134600.0,162,191251
2026-03-19 00:58:00,134590.0,134600.0,134560.0,134600.0,177,191166
2026-03-19 00:59:00,134600.0,134610.0,134580.0,134590.0,184,191103
2026-03-19 01:00:00,134590.0,134620.0,134550.0,134610.0,558,190711
2026-03-19 09:01:00,134250.0,134610.0,134160.0,134270.0,3054,190713
2026-03-19 09:02:00,134260.0,134270.0,133940.0,133970.0,2344,190640
2026-03-19 09:03:00,133980.0,134030.0,133920.0,133960.0,1587,190779
2026-03-19 09:04:00,133970.0,133970.0,133660.0,133670.0,1939,191118
2026-03-19 09:05:00,133650.0,133810.0,133550.0,133580.0,1999,191340
2026-03-19 09:06:00,133570.0,133620.0,133040.0,133100.0,4091,191466
2026-03-19 09:07:00,133100.0,133270.0,133050.0,133110.0,2140,191560
2026-03-19 09:08:00,133120.0,133120.0,132850.0,132850.0,3090,191866
2026-03-19 09:09:00,132890.0,132970.0,132780.0,132880.0,2348,191963
2026-03-19 09:10:00,132870.0,133210.0,132860.0,133210.0,2239,191904
2026-03-19 09:11:00,133200.0,133240.0,133070.0,133070.0,1456,191980
2026-03-19 09:12:00,132990.0,132990.0,132790.0,132890.0,1753,192406
2026-03-19 09:13:00,132890.0,132990.0,132840.0,132900.0,1228,192518
2026-03-19 09:14:00,132890.0,133010.0,132820.0,132980.0,1443,192716
2026-03-19 09:15:00,132980.0,133010.0,132930.0,132950.0,978,192927
2026-03-19 09:16:00,132960.0,132980.0,132840.0,132880.0,1078,192937
2026-03-19 09:17:00,132880.0,133080.0,132870.0,133000.0,1249,192825
2026-03-19 09:18:00,133000.0,133030.0,132960.0,133010.0,221,192770
2026-03-19 09:19:00,133030.0,133070.0,132900.0,132940.0,1065,192864
2026-03-19 09:20:00,132930.0,133020.0,132860.0,132920.0,933,192901
2026-03-19 09:21:00,132920.0,132980.0,132850.0,132850.0,727,193069
2026-03-19 09:22:00,132860.0,132910.0,132650.0,132840.0,2229,193393
2026-03-19 09:23:00,132830.0,132850.0,132690.0,132720.0,878,193370
2026-03-19 09:24:00,132700.0,132700.0,132070.0,132190.0,4576,193814
