signal_type,信号数量,平均组合长度,多仓均收益%,多仓标准差,多仓最小%,多仓最大%,多仓盈利数,多仓胜率,空仓均收益%,空仓标准差,空仓最小%,空仓最大%,空仓盈利数,空仓胜率,平均买点位置
横盘整理,17292,9.7849,0.0005,0.1552,-1.7636,0.8678,8737,0.5053,-0.0005,0.1552,-0.8678,1.7636,8056,0.4659,5.5594
冲高回落,6381,9.8199,0.0132,0.1466,-1.3075,0.845,3459,0.5421,-0.0132,0.1466,-0.845,1.3075,2721,0.4264,5.6411
探底回升,6303,9.8282,0.0035,0.1555,-1.1144,0.8678,3168,0.5026,-0.0035,0.1555,-0.8678,1.1144,2952,0.4683,5.654
连续上涨2K,4171,8.4948,0.0018,0.2534,-1.946,0.8678,2129,0.5104,-0.0018,0.2534,-0.8678,1.946,1963,0.4706,2.0
连续下跌2K,3577,8.4943,-0.0016,0.22,-1.3662,0.9135,1854,0.5183,0.0016,0.22,-0.9135,1.3662,1643,0.4593,2.0
连续上涨3K,2141,8.4965,-0.0073,0.2662,-1.946,0.7464,1089,0.5086,0.0073,0.2662,-0.7464,1.946,995,0.4647,3.0
连续下跌3K,1567,8.4978,-0.0187,0.2058,-1.1239,0.8221,768,0.4901,0.0187,0.2058,-0.8221,1.1239,760,0.485,3.0
连续上涨4K,959,9.0,-0.023,0.3195,-1.946,0.7007,477,0.4974,0.023,0.3195,-0.7007,1.946,466,0.4859,4.0
连续下跌4K,560,9.0,-0.0351,0.2036,-0.8377,0.536,257,0.4589,0.0351,0.2036,-0.536,0.8377,285,0.5089,4.0
连续上涨5K,450,9.5,-0.0489,0.389,-1.946,0.6391,222,0.4933,0.0489,0.389,-0.6391,1.946,225,0.5,5.0
中位十字星,244,10.6598,-0.0295,0.1432,-0.5465,0.271,117,0.4795,0.0295,0.1432,-0.271,0.5465,124,0.5082,7.3197
连续上涨6K,235,10.0,-0.0843,0.4443,-1.946,0.5934,109,0.4638,0.0843,0.4443,-0.5934,1.946,124,0.5277,6.0
连续下跌5K,186,9.5,-0.0584,0.2037,-0.7092,0.521,79,0.4247,0.0584,0.2037,-0.521,0.7092,102,0.5484,5.0
阴阳交错,137,10.6934,0.0062,0.1974,-0.6182,0.5419,71,0.5182,-0.0062,0.1974,-0.5419,0.6182,61,0.4453,7.3869
连续上涨7K,124,10.5,-0.1229,0.4843,-1.946,0.5093,52,0.4194,0.1229,0.4843,-0.5093,1.946,71,0.5726,7.0
下跌信号,72,9.6667,0.2889,0.3218,-0.2937,0.6822,57,0.7917,-0.2889,0.3218,-0.6822,0.2937,15,0.2083,5.3333
连续下跌6K,70,10.0,-0.0188,0.1603,-0.6031,0.2628,38,0.5429,0.0188,0.1603,-0.2628,0.6031,32,0.4571,6.0
连续上涨8K,66,11.0,-0.1233,0.4926,-1.946,0.4023,29,0.4394,0.1233,0.4926,-0.4023,1.946,36,0.5455,8.0
连续下跌7K,32,10.5,-0.019,0.158,-0.6031,0.2251,18,0.5625,0.019,0.158,-0.2251,0.6031,14,0.4375,7.0
连续上涨9K,28,11.5,-0.1144,0.4777,-1.7636,0.3567,13,0.4643,0.1144,0.4777,-0.3567,1.7636,14,0.5,9.0
震荡下跌,19,11.3684,0.0511,0.1653,-0.2402,0.271,14,0.7368,-0.0511,0.1653,-0.271,0.2402,5,0.2632,8.7368
低位十字星,10,11.5,-0.1802,0.1133,-0.308,0.0154,1,0.1,0.1802,0.1133,-0.0154,0.308,9,0.9,9.0
连续上涨10K,10,12.0,0.0184,0.1323,-0.2041,0.3034,5,0.5,-0.0184,0.1323,-0.3034,0.2041,4,0.4,10.0
连续下跌8K,6,11.0,-0.0353,0.1137,-0.174,0.0815,3,0.5,0.0353,0.1137,-0.0815,0.174,3,0.5,8.0
