combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_5K,5,2026-03-18 23:28:00,2026-03-18 23:32:00,720.0,0.20186727226848347,True,-720.0,-0.20186727226848347,False
震荡_阳线_5K,5,2026-03-18 23:29:00,2026-03-18 23:33:00,500.0,0.14008741454667714,True,-500.0,-0.14008741454667714,False
震荡_阳线_5K,5,2026-03-18 23:30:00,2026-03-18 23:34:00,400.0,0.11198835321126603,True,-400.0,-0.11198835321126603,False
震荡_阳线_5K,5,2026-03-18 23:31:00,2026-03-18 23:35:00,170.0,0.047579065211307024,True,-170.0,-0.047579065211307024,False
震荡_阳线_5K,5,2026-03-18 23:32:00,2026-03-18 23:36:00,-50.0,-0.013990710168448151,False,50.0,0.013990710168448151,True
震荡_阴线_5K,5,2026-03-18 23:33:00,2026-03-18 23:37:00,-110.0,-0.03077870113881194,False,110.0,0.03077870113881194,True
震荡_阴线_5K,5,2026-03-18 23:34:00,2026-03-18 23:38:00,-140.0,-0.03916960438699569,False,140.0,0.03916960438699569,True
震荡_阴线_5K,5,2026-03-18 23:35:00,2026-03-18 23:39:00,-190.0,-0.053134962805526036,False,190.0,0.053134962805526036,True
震荡_阴线_5K,5,2026-03-18 23:36:00,2026-03-18 23:40:00,-70.0,-0.01958206283044731,False,70.0,0.01958206283044731,True
震荡_阴线_5K,5,2026-03-18 23:37:00,2026-03-18 23:41:00,-30.0,-0.008395600705230459,False,30.0,0.008395600705230459,True
震荡_阴线_5K,5,2026-03-18 23:38:00,2026-03-18 23:42:00,-340.0,-0.09516878463863852,False,340.0,0.09516878463863852,True
震荡_阴线_5K,5,2026-03-18 23:39:00,2026-03-18 23:43:00,-430.0,-0.12035378414688759,False,430.0,0.12035378414688759,True
震荡_阴线_5K,5,2026-03-18 23:40:00,2026-03-18 23:44:00,-570.0,-0.1594896331738437,False,570.0,0.1594896331738437,True
震荡_阴线_5K,5,2026-03-18 23:41:00,2026-03-18 23:45:00,-680.0,-0.19026301063234471,False,680.0,0.19026301063234471,True
