signal_type,信号数量,平均组合长度,多仓均收益%,多仓标准差,多仓最小%,多仓最大%,多仓盈利数,多仓胜率,空仓均收益%,空仓标准差,空仓最小%,空仓最大%,空仓盈利数,空仓胜率,平均买点位置
横盘整理,16544,9.7619,-0.0033,0.3209,-4.3194,2.0792,8249,0.4986,0.0033,0.3209,-2.0792,4.3194,8140,0.492,5.5212
探底回升,6110,9.8291,-0.0232,0.3573,-4.3581,2.0821,2895,0.4738,0.0232,0.3573,-2.0821,4.3581,3149,0.5154,5.6669
冲高回落,6035,9.8461,0.0237,0.3057,-3.2283,2.0792,3241,0.537,-0.0237,0.3057,-2.0792,3.2283,2744,0.4547,5.6925
连续下跌2K,4000,8.4952,0.01,0.4032,-3.3131,2.1058,2137,0.5342,-0.01,0.4032,-2.1058,3.3131,1842,0.4605,2.0
连续上涨2K,3988,8.4942,-0.047,0.522,-4.4419,2.0821,1837,0.4606,0.047,0.522,-2.0821,4.4419,2127,0.5334,2.0
连续下跌3K,1937,8.4951,0.0295,0.3459,-1.4329,1.9091,1080,0.5576,-0.0295,0.3459,-1.9091,1.4329,842,0.4347,3.0
连续上涨3K,1905,8.4919,-0.069,0.5788,-4.4419,2.0821,815,0.4278,0.069,0.5788,-2.0821,4.4419,1072,0.5627,3.0
中位十字星,1064,10.5376,-0.0672,0.2991,-1.5452,1.2051,395,0.3712,0.0672,0.2991,-1.2051,1.5452,668,0.6278,7.0752
连续下跌4K,763,9.0,0.0266,0.3298,-1.0721,1.4265,425,0.557,-0.0266,0.3298,-1.4265,1.0721,335,0.4391,4.0
连续上涨4K,753,8.992,-0.1239,0.6895,-4.4419,2.0518,307,0.4077,0.1239,0.6895,-2.0518,4.4419,438,0.5817,4.0
阴阳交错,384,10.3802,-0.1138,0.5178,-4.4033,0.7361,157,0.4089,0.1138,0.5178,-0.7361,4.4033,225,0.5859,6.7604
连续上涨5K,264,9.5,-0.261,0.8563,-4.4419,1.2419,77,0.2917,0.261,0.8563,-1.2419,4.4419,184,0.697,5.0
连续下跌5K,258,9.5,0.0177,0.3473,-1.0611,1.1312,150,0.5814,-0.0177,0.3473,-1.1312,1.0611,108,0.4186,5.0
震荡下跌,206,10.6408,0.0298,0.3729,-1.1344,1.4083,91,0.4417,-0.0298,0.3729,-1.4083,1.1344,115,0.5583,7.2816
震荡上涨,144,10.5972,-0.1691,0.8067,-4.4419,1.2419,60,0.4167,0.1691,0.8067,-1.2419,4.4419,83,0.5764,7.1944
连续上涨6K,90,10.0,-0.2573,0.9808,-4.4419,1.2419,26,0.2889,0.2573,0.9808,-1.2419,4.4419,64,0.7111,6.0
连续下跌6K,65,10.0,-0.0207,0.3482,-0.8906,0.865,36,0.5538,0.0207,0.3482,-0.865,0.8906,29,0.4462,6.0
震荡信号,45,9.2444,0.122,0.177,-0.0918,0.4833,34,0.7556,-0.122,0.177,-0.4833,0.0918,11,0.2444,4.4889
高位十字星,28,10.7143,-0.0851,0.2705,-0.6986,0.2299,15,0.5357,0.0851,0.2705,-0.2299,0.6986,13,0.4643,7.4286
连续下跌7K,16,10.5,-0.0355,0.3637,-0.5897,0.793,8,0.5,0.0355,0.3637,-0.793,0.5897,8,0.5,7.0
连续上涨7K,16,10.5,0.0287,0.3419,-0.2355,1.2419,4,0.25,-0.0287,0.3419,-1.2419,0.2355,12,0.75,7.0
低位十字星,14,11.2143,-0.5132,0.3916,-1.3476,0.0148,1,0.0714,0.5132,0.3916,-0.0148,1.3476,13,0.9286,8.4286
连续下跌8K,6,11.0,-0.0825,0.1845,-0.3164,0.1202,3,0.5,0.0825,0.1845,-0.1202,0.3164,3,0.5,8.0
连续上涨8K,3,11.0,-0.0655,0.0379,-0.1039,-0.0281,0,0.0,0.0655,0.0379,0.0281,0.1039,3,1.0,8.0
连续下跌9K,2,11.5,-0.0776,0.2175,-0.2315,0.0762,1,0.5,0.0776,0.2175,-0.0762,0.2315,1,0.5,9.0
