combo_type,组合数量,平均长度,多仓平均收益%,多仓收益标准差,多仓最小收益%,多仓最大收益%,多仓盈利单数,多仓胜率,空仓平均收益%,空仓收益标准差,空仓最小收益%,空仓最大收益%,空仓盈利单数,空仓胜率
震荡_阴线_12K,706,12.0,-0.1393,0.5576,-2.0696,2.0263,286,0.4051,0.1393,0.5576,-2.0263,2.0696,419,0.5935
震荡_阴线_11K,703,11.0,-0.1309,0.5373,-1.9861,2.0474,300,0.4267,0.1309,0.5373,-2.0474,1.9861,400,0.569
震荡_阴线_10K,683,10.0,-0.1347,0.511,-1.9475,2.0012,274,0.4012,0.1347,0.511,-2.0012,1.9475,408,0.5974
震荡_阴线_9K,658,9.0,-0.1411,0.4793,-1.8104,1.9982,236,0.3587,0.1411,0.4793,-1.9982,1.8104,418,0.6353
震荡_阴线_8K,658,8.0,-0.126,0.4567,-1.8019,1.9375,234,0.3556,0.126,0.4567,-1.9375,1.8019,424,0.6444
震荡_阴线_7K,628,7.0,-0.1306,0.4246,-1.7085,1.9346,205,0.3264,0.1306,0.4246,-1.9346,1.7085,419,0.6672
震荡_阴线_6K,608,6.0,-0.1363,0.3739,-1.3614,1.8855,188,0.3092,0.1363,0.3739,-1.8855,1.3614,417,0.6859
震荡_阴线_5K,588,5.0,-0.1373,0.3309,-1.4017,1.8825,169,0.2874,0.1373,0.3309,-1.8825,1.4017,415,0.7058
震荡_阳线_5K,340,5.0,0.2294,0.2882,-0.7769,1.5226,285,0.8382,-0.2294,0.2882,-1.5226,0.7769,52,0.1529
震荡_阳线_6K,329,6.0,0.2365,0.3106,-0.7374,1.5787,277,0.8419,-0.2365,0.3106,-1.5787,0.7374,51,0.155
震荡_阳线_7K,322,7.0,0.2453,0.3173,-0.874,1.4389,276,0.8571,-0.2453,0.3173,-1.4389,0.874,45,0.1398
震荡_阳线_9K,304,9.0,0.2623,0.3853,-1.9174,1.9858,262,0.8618,-0.2623,0.3853,-1.9858,1.9174,41,0.1349
震荡_阳线_8K,301,8.0,0.2524,0.3308,-0.8459,1.5163,256,0.8505,-0.2524,0.3308,-1.5163,0.8459,42,0.1395
震荡_阳线_10K,284,10.0,0.2765,0.3842,-1.86,1.655,247,0.8697,-0.2765,0.3842,-1.655,1.86,36,0.1268
震荡_阳线_11K,262,11.0,0.2925,0.3859,-1.8916,1.5998,231,0.8817,-0.2925,0.3859,-1.5998,1.8916,30,0.1145
震荡_阳线_12K,257,12.0,0.317,0.3895,-2.0665,1.6028,233,0.9066,-0.317,0.3895,-1.6028,2.0665,24,0.0934
震荡_星线_5K,86,5.0,0.0051,0.3495,-0.77,1.4629,39,0.4535,-0.0051,0.3495,-1.4629,0.77,46,0.5349
